labeled_ratio,trial,seed,method,round_idx,epoch_in_round,global_epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_acc_improvement
0.1,5,46,pso,3,4,12,0.172031,0.945118,2.146028,0.5246,0.525838,-0.011
0.15,1,42,manual,1,1,1,1.797942,0.348444,1.566601,0.4306,0.402521,0.0
0.15,1,42,manual,1,2,2,1.379441,0.502222,1.363686,0.5092,0.505527,0.0786
0.15,1,42,manual,1,3,3,1.172882,0.584,1.255312,0.5578,0.559518,0.0486
0.15,1,42,manual,1,4,4,1.008502,0.651704,1.24259,0.5666,0.559803,0.0088
0.15,1,42,manual,2,1,5,0.715685,0.74703,1.298464,0.5614,0.559727,-0.0052
0.15,1,42,manual,2,2,6,0.563156,0.804848,1.294507,0.5842,0.586352,0.0228
0.15,1,42,manual,2,3,7,0.430407,0.853818,1.383001,0.5758,0.573296,-0.0084
0.15,1,42,manual,2,4,8,0.318776,0.893939,1.506285,0.5726,0.564275,-0.0032
0.15,1,42,manual,3,1,9,0.400127,0.863385,1.367197,0.5826,0.582356,0.01
0.15,1,42,manual,3,2,10,0.280774,0.904205,1.567858,0.5552,0.551626,-0.0274
0.15,1,42,manual,3,3,11,0.198806,0.936,1.727972,0.5802,0.578908,0.025
0.15,1,42,manual,3,4,12,0.128723,0.959179,1.941741,0.5738,0.572099,-0.0064
0.15,1,42,pso,1,1,1,1.828263,0.343259,1.567716,0.4464,0.429546,0.0
0.15,1,42,pso,1,2,2,1.410194,0.493037,1.377649,0.51,0.500689,0.0636
0.15,1,42,pso,1,3,3,1.213788,0.56563,1.283017,0.5398,0.532326,0.0298
0.15,1,42,pso,1,4,4,1.075319,0.610667,1.248468,0.5536,0.548332,0.0138
0.15,1,42,pso,2,1,5,0.830458,0.707599,1.276658,0.552,0.551912,-0.0016
0.15,1,42,pso,2,2,6,0.714337,0.754275,1.239683,0.5734,0.567944,0.0214
0.15,1,42,pso,2,3,7,0.601027,0.792594,1.264827,0.5788,0.574027,0.0054
0.15,1,42,pso,2,4,8,0.506546,0.825383,1.281134,0.5936,0.584948,0.0148
0.15,1,42,pso,3,1,9,0.378948,0.872558,1.3507,0.5894,0.588709,-0.0042
0.15,1,42,pso,3,2,10,0.277853,0.91095,1.669457,0.5468,0.532956,-0.0426
0.15,1,42,pso,3,3,11,0.20701,0.93378,1.604986,0.5782,0.578726,0.0314
0.15,1,42,pso,3,4,12,0.14708,0.957292,1.744599,0.5688,0.56292,-0.0094
0.15,2,43,manual,1,1,1,1.825729,0.330815,1.554422,0.4502,0.450589,0.0
0.15,2,43,manual,1,2,2,1.403579,0.505185,1.49691,0.4738,0.483259,0.0236
0.15,2,43,manual,1,3,3,1.208572,0.570519,1.264832,0.5452,0.545212,0.0714
0.15,2,43,manual,1,4,4,1.024333,0.642963,1.230601,0.565,0.562828,0.0198
0.15,2,43,manual,2,1,5,0.746538,0.744277,1.258641,0.5686,0.562253,0.0036
0.15,2,43,manual,2,2,6,0.611028,0.787925,1.301241,0.5666,0.562173,-0.002
0.15,2,43,manual,2,3,7,0.48087,0.837358,1.338296,0.571,0.571321,0.0044
0.15,2,43,manual,2,4,8,0.364094,0.87761,1.494822,0.5636,0.562699,-0.0074
0.15,2,43,manual,3,1,9,0.348938,0.880984,1.586934,0.5516,0.542277,-0.012
0.15,2,43,manual,3,2,10,0.245674,0.918798,1.60994,0.5776,0.570694,0.026
0.15,2,43,manual,3,3,11,0.168019,0.94612,1.740371,0.5734,0.574756,-0.0042
0.15,2,43,manual,3,4,12,0.107833,0.968087,2.119245,0.565,0.565503,-0.0084
0.15,2,43,pso,1,1,1,1.832137,0.331556,1.585777,0.4108,0.38736,0.0
0.15,2,43,pso,1,2,2,1.417799,0.495111,1.404986,0.492,0.488602,0.0812
0.15,2,43,pso,1,3,3,1.235555,0.565185,1.329741,0.5242,0.504055,0.0322
0.15,2,43,pso,1,4,4,1.054578,0.62963,1.368377,0.5136,0.503382,-0.0106
0.15,2,43,pso,2,1,5,0.876828,0.694303,1.23355,0.564,0.559839,0.0504
0.15,2,43,pso,2,2,6,0.724437,0.745333,1.224989,0.5734,0.57307,0.0094
0.15,2,43,pso,2,3,7,0.595828,0.796,1.22713,0.5702,0.564705,-0.0032
0.15,2,43,pso,2,4,8,0.477472,0.830909,1.342307,0.5696,0.567645,-0.0006
0.15,2,43,pso,3,1,9,0.53364,0.812513,1.264694,0.57,0.568515,0.0004
0.15,2,43,pso,3,2,10,0.400998,0.859692,1.318083,0.5806,0.572099,0.0106
0.15,2,43,pso,3,3,11,0.309168,0.893846,1.450876,0.5748,0.572911,-0.0058
0.15,2,43,pso,3,4,12,0.222265,0.918769,1.593127,0.5768,0.576249,0.002
0.15,3,44,manual,1,1,1,1.778515,0.351556,1.596195,0.418,0.382833,0.0
0.15,3,44,manual,1,2,2,1.367755,0.508741,1.405338,0.497,0.477612,0.079
0.15,3,44,manual,1,3,3,1.160858,0.587704,1.28922,0.5422,0.531847,0.0452
0.15,3,44,manual,1,4,4,0.993806,0.656593,1.285215,0.5556,0.548028,0.0134
